Mã đơn,Khu vực,Nhóm hàng,Ngày bán,Số lượng,Doanh thu
0001,Miền Bắc,Đồ uống,2026-01-01,5,75000
0002,Miền Trung,Đồ uống,2026-02-02,12,180000
0003,Miền Nam,Đồ uống,2026-03-03,19,285000
0004,Miền Bắc,Bánh kẹo,2026-04-04,26,572000
0005,Miền Trung,Bánh kẹo,2026-05-05,33,726000
0006,Miền Nam,Bánh kẹo,2026-06-06,40,880000
0007,Miền Bắc,Gia dụng,2026-07-07,7,336000
0008,Miền Trung,Gia dụng,2026-08-08,14,672000
0009,Miền Nam,Gia dụng,2026-09-09,21,1008000
0010,Miền Bắc,Đồ uống,2026-10-10,28,420000
0011,Miền Trung,Đồ uống,2026-11-11,35,525000
0012,Miền Nam,Đồ uống,2026-12-12,42,630000
0013,Miền Bắc,Bánh kẹo,2026-01-13,9,198000
0014,Miền Trung,Bánh kẹo,2026-02-14,16,352000
0015,Miền Nam,Bánh kẹo,2026-03-15,23,506000
0016,Miền Bắc,Gia dụng,2026-04-16,30,1440000
0017,Miền Trung,Gia dụng,2026-05-17,37,1776000
0018,Miền Nam,Gia dụng,2026-06-18,44,2112000
0019,Miền Bắc,Đồ uống,2026-07-19,11,165000
0020,Miền Trung,Đồ uống,2026-08-20,18,270000
0021,Miền Nam,Đồ uống,2026-09-21,25,375000
0022,Miền Bắc,Bánh kẹo,2026-10-22,32,704000
0023,Miền Trung,Bánh kẹo,2026-11-23,39,858000
0024,Miền Nam,Bánh kẹo,2026-12-24,6,132000
0025,Miền Bắc,Gia dụng,2026-01-25,13,624000
0026,Miền Trung,Gia dụng,2026-02-26,20,960000
0027,Miền Nam,Gia dụng,2026-03-27,27,1296000
0028,Miền Bắc,Đồ uống,2026-04-01,34,510000
0029,Miền Trung,Đồ uống,2026-05-02,41,615000
0030,Miền Nam,Đồ uống,2026-06-03,8,120000
0031,Miền Bắc,Bánh kẹo,2026-07-04,15,330000
0032,Miền Trung,Bánh kẹo,2026-08-05,22,484000
0033,Miền Nam,Bánh kẹo,2026-09-06,29,638000
0034,Miền Bắc,Gia dụng,2026-10-07,36,1728000
0035,Miền Trung,Gia dụng,2026-11-08,43,2064000
0036,Miền Nam,Gia dụng,2026-12-09,10,480000
